"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241","TC-API-16 | Each transaction has an amount field","chromium","2026-05-29","passed","2026-05-29","Block 4 — Transactions","api.spec.js","",""
"","1772","TC-TRF-10 | Small amount transfer succeeds","webkit","2026-06-05","passed","2026-06-05","Block 3 — Valid Transfer","transfer.spec.js","",""
"","74","TC-API-06 | Accounts response is an array","webkit","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","102","TC-API-13 | Transactions endpoint returns 200","firefox","2026-06-05","passed","2026-06-05","Block 4 — Transactions","ADD_ON_api.spec.js","",""
"","1866","TC-TXN-13 | Amount search input is visible","webkit","2026-06-05","passed","2026-06-05","Block 4 — Amount Filter","transaction.spec.js","",""
"","1664","TC-PROF-14 | Updating with changed data shows response","firefox","2026-06-05","passed","2026-06-05","Block 4 — Update Profile","profile.spec.js","",""
"","1536","TC-TRF-06 | To account dropdown is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Account Dropdowns","transfer.spec.js","",""
"","607","TC-AUTH-05 | Register link is visible on homepage","chromium","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","1289","TC-ACCT-03 | Account table is visible","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","account.spec.js","",""
"","1617","TC-LOAN-15 | Loan page accessible via left nav link","webkit","2026-06-05","passed","2026-06-05","Block 5 — Navigation","ADD_ON_loan.spec.js","",""
"","1319","TC-ACCT-05 | Account links are visible in table","firefox","2026-06-05","passed","2026-06-05","Block 2 — Account Links","account.spec.js","",""
"","1448","TC-TXN-01 | Account activity page loads after clicking account","chromium","2026-06-05","passed","2026-06-05","Block 1 — Account Activity Page Load","transaction.spec.js","",""
"","1565","TC-BILL-18 | From account dropdown has correct name attribute","firefox","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1459","TC-PROF-01 | Profile page loads after login","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","profile.spec.js","",""
"","1681","TC-TRF-08 | Valid transfer shows success title","firefox","2026-06-05","passed","2026-06-05","Block 3 — Valid Transfer","transfer.spec.js","",""
"","1762","TC-LOAN-05 | Down payment input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","1751","TC-TRF-14 | Page content is visible after invalid submit","firefox","2026-06-05","passed","2026-06-05","Block 4 — Invalid Transfer","transfer.spec.js","",""
"","1609","TC-BILL-16 | Payee name input accepts and retains text value","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","794","TC-AUTH-15 | Register page loads","firefox","2026-06-05","passed","2026-06-05","Block 5 — Registration Page","auth.spec.js","",""
"","1212","TC-TXN-09 | Activity month dropdown is visible","chromium","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","1147","TC-PROF-11 | Last name field is pre-filled","chromium","2026-06-05","passed","2026-06-05","Block 3 — Pre-filled Data","profile.spec.js","",""
"","1744","TC-TRF-12 | Zero amount shows error or stays on page","webkit","2026-06-05","passed","2026-06-05","Block 4 — Invalid Transfer","transfer.spec.js","",""
"","1373","TC-LOAN-16 | Down payment input accepts numeric value","firefox","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","84","TC-API-16 | Each transaction has an amount field","webkit","2026-06-05","passed","2026-06-05","Block 4 — Transactions","ADD_ON_api.spec.js","",""
"","247","TC-API-08 | Each account has an id field","chromium","2026-05-29","passed","2026-05-29","Block 2 — Customer Accounts","api.spec.js","",""
"","637","TC-AUTH-01 | Login panel renders on homepage","chromium","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","734","TC-AUTH-09 | Wrong password shows error","chromium","2026-06-05","passed","2026-06-05","Block 3 — Invalid Login","auth.spec.js","",""
"","1840","TC-LOAN-10 | Applying for loan shows response","webkit","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","1059","TC-BILL-18 | From account dropdown has correct name attribute","chromium","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1831","TC-BILL-05 | Address input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_bill.spec.js","",""
"","1474","TC-BILL-17 | Amount input accepts numeric value","firefox","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","96","TC-API-04 | Invalid login returns non-200 status","firefox","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","3292","TC-BILL-11 | Submitting valid payment shows response","chromium","2026-05-29","passed","2026-05-29","Block 4 — Payment Submit","bill.spec.js","",""
"","931","TC-LOAN-06 | From account dropdown is visible","chromium","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","ADD_ON_loan.spec.js","",""
"","1564","TC-PROF-04 | First name input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","85","TC-API-06 | Accounts response is an array","chromium","2026-06-05","passed","2026-06-05","Block 2 — Customer Accounts","ADD_ON_api.spec.js","",""
"","980","TC-BILL-17 | Amount input accepts numeric value","chromium","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1343","TC-PROF-09 | Update Profile button is visible","firefox","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","426","TC-API-01 | Login endpoint returns 200 for valid credentials","webkit","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","1689","TC-AUTH-14 | URL contains index or login after logout","webkit","2026-06-05","passed","2026-06-05","Block 4 — Logout","auth.spec.js","",""
"","1574","TC-PROF-02 | Right panel is visible on profile page","webkit","2026-06-05","passed","2026-06-05","Block 1 — Page Load","profile.spec.js","",""
"","1083","TC-ACCT-10 | Available balance is displayed","chromium","2026-06-05","passed","2026-06-05","Block 3 — Account Details","account.spec.js","",""
"","90","TC-API-10 | Account detail contains balance field","firefox","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","1037","TC-PROF-06 | Address input is visible","chromium","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","1444","TC-ACCT-14 | Account table content is not empty","webkit","2026-06-05","passed","2026-06-05","Block 5 — Table Content","account.spec.js","",""
"","1531","TC-PROF-12 | Updating profile shows response","firefox","2026-06-05","passed","2026-06-05","Block 4 — Update Profile","profile.spec.js","",""
"","1104","TC-BILL-19 | Account number input can be cleared and re-entered","chromium","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","1293","TC-TXN-11 | Go button for filter is visible","chromium","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","90","TC-API-02 | Login response contains customer id","chromium","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","1520","TC-LOAN-17 | Loan form has required input fields","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","1024","TC-BILL-01 | Bill pay page loads after login","chromium","2026-06-05","passed","2026-06-05","Block 1 — Page Load","ADD_ON_bill.spec.js","",""
"","1547","TC-PROF-08 | Phone input is visible","webkit","2026-06-05","passed","2026-06-05","Block 2 — Form Fields","profile.spec.js","",""
"","599","TC-AUTH-16 | First name field is visible on register page","chromium","2026-06-05","passed","2026-06-05","Block 5 — Registration Page","auth.spec.js","",""
"","1240","TC-LOAN-11 | Loan response contains loan related text","chromium","2026-06-05","passed","2026-06-05","Block 4 — Loan Application","ADD_ON_loan.spec.js","",""
"","77","TC-API-02 | Login response contains customer id","webkit","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","1216","TC-TXN-10 | Transaction type dropdown is visible","chromium","2026-06-05","passed","2026-06-05","Block 3 — Filter Controls","transaction.spec.js","",""
"","1389","TC-TRF-16 | Transfer page accessible from left nav","firefox","2026-06-05","passed","2026-06-05","Block 5 — Navigation","transfer.spec.js","",""
"","1096","TC-BILL-12 | Payment response contains payment related text","chromium","2026-06-05","passed","2026-06-05","Block 4 — Payment Submit","ADD_ON_bill.spec.js","",""
"","234","TC-API-04 | Invalid login returns non-200 status","chromium","2026-05-29","passed","2026-05-29","Block 1 — Login API","api.spec.js","",""
"","2948","TC-LOAN-04 | Loan amount input is visible","chromium","2026-05-29","passed","2026-05-29","Block 2 — Form Fields","loan.spec.js","",""
"","1050","TC-ACCT-02 | Page title is visible","chromium","2026-06-05","passed","2026-06-05","Block 1 — Page Load","account.spec.js","",""
"","1204","TC-TXN-08 | Transaction table has Date column header","chromium","2026-06-05","passed","2026-06-05","Block 2 — Transaction Table","transaction.spec.js","",""
"","1073","TC-LOAN-20 | Apply Now button has correct input type","chromium","2026-06-05","failed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_loan.spec.js","",""
"","1354","TC-PROF-02 | Right panel is visible on profile page","firefox","2026-06-05","passed","2026-06-05","Block 1 — Page Load","profile.spec.js","",""
"","1952","TC-TXN-05 | Transaction table is visible on activity page","webkit","2026-06-05","passed","2026-06-05","Block 2 — Transaction Table","transaction.spec.js","",""
"","1537","TC-BILL-18 | From account dropdown has correct name attribute","webkit","2026-06-05","passed","2026-06-05","Block 6 — Input Validation & UI State","ADD_ON_bill.spec.js","",""
"","92","TC-API-14 | Transactions response is an array","firefox","2026-06-05","passed","2026-06-05","Block 4 — Transactions","ADD_ON_api.spec.js","",""
"","3148","TC-BILL-01 | Bill pay page loads after login","chromium","2026-05-29","passed","2026-05-29","Block 1 — Page Load","bill.spec.js","",""
"","1563","TC-ACCT-08 | Account detail page shows balance","firefox","2026-06-05","passed","2026-06-05","Block 2 — Account Links","account.spec.js","",""
"","237","TC-API-13 | Transactions endpoint returns 200","chromium","2026-05-29","passed","2026-05-29","Block 4 — Transactions","api.spec.js","",""
"","107","TC-API-02 | Login response contains customer id","firefox","2026-06-05","passed","2026-06-05","Block 1 — Login API","ADD_ON_api.spec.js","",""
"","760","TC-AUTH-02 | Username input is visible","firefox","2026-06-05","passed","2026-06-05","Block 1 — Login Page UI Verification","auth.spec.js","",""
"","70","TC-API-11 | Account detail contains type field","webkit","2026-06-05","passed","2026-06-05","Block 3 — Account Details","ADD_ON_api.spec.js","",""
"","1759","TC-TXN-14 | Find Transactions button is visible","firefox","2026-06-05","passed","2026-06-05","Block 4 — Amount Filter","transaction.spec.js","",""
"","2004","TC-TXN-16 | Back to overview from activity page works","firefox","2026-06-05","passed","2026-06-05","Block 5 — Navigation","transaction.spec.js","",""
